Country,City,CameraName,CameraURL
us,"UT, Duck Creek Village",Zennest Zion Summit Cam,https://www.earthcam.com/usa/utah/duckcreekvillage/?cam=zionsummit
us,"VT, Stowe",Trapp Family Lodge Cam,https://www.earthcam.com/usa/vermont/stowe/
us,"VA, Charlottesville",Charlottesville Airport Cam,https://www.earthcam.com/usa/virginia/charlottesville/
us,"VA, Smithfield",Ham Cam,https://www.earthcam.com/usa/virginia/smithfield/
us,"WA, Seattle",Downtown Seattle Cam,https://www.earthcam.com/usa/washington/seattle/?cam=seattledowntown
us,"WA, Seattle",Seattle Skyline Cam,https://www.earthcam.com/usa/washington/seattle/?cam=seattleskyline
us,"WA, Seattle",Space Needle Cam,https://www.earthcam.com/usa/washington/seattle/?cam=seattlespaceneedle
us,"WI, Baraboo",Baraboo Cam,https://www.earthcam.com/usa/wisconsin/barabooo/
us,"WY, Afton",Afton Cam,https://www.earthcam.com/usa//wyoming/afton/
Anguilla,Meads Bay,Aleta Pool,https://www.earthcam.com/world/anguilla/meadsbay/?cam=aletapool
Anguilla,Barnes Bay,Barnes Bay,https://www.earthcam.com/world/anguilla/meadsbay/?cam=barnesbay
Anguilla,Meads Bay,Meads Bay,https://www.earthcam.com/world/anguilla/meadsbay/?cam=meadsbay_hd
Aruba,Oranjestad,Amsterdam Manor Beach Cam,https://www.earthcam.com/world/aruba/beachfront/
Aruba,Oranjestad,Bucuti Beach Cams - Beach View,https://www.earthcam.com/world/aruba/eaglebeach/?cam=bucuti3
Aruba,Oranjestad,Bucuti Beach Cams - Eagle Beach,https://www.earthcam.com/world/aruba/eaglebeach/?cam=bucuti1
Aruba,Oranjestad,Druif Resort Cams - Beach View,https://www.earthcam.com/world/aruba/druifbeach/?cam=casadelmar
Aruba,Oranjestad,Druif Resort Cams - Resort View,https://www.earthcam.com/world/aruba/druifbeach/?cam=casadelmar2
Aruba,Oranjestad,Playa Linda Resort Cams - Beach View,https://www.earthcam.com/world/aruba/beachresort/?cam=arubabeach
Aruba,Oranjestad,Playa Linda Resort Cams - Pool View,https://www.earthcam.com/world/aruba/beachresort/?cam=pooldeck
Bahamas,Nassau,Atlantis View Cam,https://www.earthcam.com/world/bahamas/nassau/
Bermuda,Pembroke,Bermuda Cam,http://myearthcam.com/seaair
